title,rating,no_of_ratings,url,author,servings,difficulty,prep_time,cook_time,total_time,year,month,ingredients,date
Warming chicken noodle soup. This is a premium piece of content available to registered users.,,37.0,https://www.bbcgoodfood.com/recipes/asian-chicken-noodle-soup,John Torode,6.0,1.0,20.0,15.0,35.0,2017,2,"4 boneless skinless chicken breasts, 60ml sake (if you don't have sake, use vodka), thumb-sized piece ginger peeled and sliced into matchsticks, 3 spring onions finely sliced on the diagonal, and white and green parts separated, 150ml soy sauce, 4 tsp sesame oil, 2 garlic cloves grated, 600g thick white noodles (such as udon), 2 large long red Serrano chillies seeds left in and sliced on the diagonal, 1 large egg beaten, small pack coriander, 2 tbsp toasted sesame seeds, seaweed flakes, to serve (optional)",2017-02-01 00:00:00
Red lentil & coconut soup,4.4,61.0,https://www.bbcgoodfood.com/recipes/red-lentil-coconut-soup,Sara Buenfeld,4.0,1.0,5.0,30.0,35.0,2015,10,"100g red lentils, 1 heaped tsp turmeric, 1 tbsp coarsely grated ginger, 2 garlic cloves sliced, 1l vegetable stock, 400ml can coconut milk, 2 leeks well washed and sliced, 2 limes cut into wedge",2015-10-01 00:00:00
"Vegan curried squash, lentil & coconut soup",4.7,130.0,https://www.bbcgoodfood.com/recipes/curried-squash-lentil-coconut-soup,Barney Desmazery,6.0,1.0,10.0,25.0,35.0,2012,3,"1 tbsp olive oil, 1 butternut squash peeled, deseeded and diced, 200g carrot diced, 1 tbsp curry powder containing turmeric, 100g red lentil, 700ml low-sodium vegetable stock, 1 can reduced-fat coconut milk, coriander and naan bread to serve",2012-03-01 00:00:00
Creamy spinach soup,4.6,101.0,https://www.bbcgoodfood.com/recipes/creamy-spinach-soup,Maxine Clark,4.0,1.0,75.0,0.0,75.0,2004,3,"50g butter, 1 medium onion finely chopped, 2 garlic cloves finely chopped, 1 medium potato peeled and chopped into chunks, 450ml chicken or vegetable stock, 600ml milk, 450g fresh spinach washed if necessary and roughly chopped, finely grated zest of half a  lemon, freshly grated nutmeg to taste, 3 tbsp double cream to serve",2004-03-01 00:00:00
Red pepper soup,4.3,37.0,https://www.bbcgoodfood.com/recipes/roasted-red-pepper-tomato-soup-ricotta,Sophie Godwin – Cookery writer,2.0,1.0,10.0,30.0,40.0,2017,9,"400g tomatoes halved, 1 red onion quartered, 2 Romano peppers roughly chopped, 2 tbsp good quality olive oil, 2 garlic cloves bashed in their skins, few thyme sprigs, 1 tbsp red wine vinegar, 2 tbsp ricotta, few basil leaves, 1 tbsp mixed seeds toasted, bread to serve",2017-09-01 00:00:00
Real tomato soup,3.9,152.0,https://www.bbcgoodfood.com/recipes/real-tomato-soup,olive oil,4.0,1.0,5.0,25.0,30.0,2007,8,"2 tbsp olive oil, 1 onion chopped, 1 garlic clove finely chopped, 1 tbsp tomato purée, 400g can chopped tomato, handful basil leaf, pinch bicarbonate of soda, 600ml milk",2007-08-01 00:00:00
Courgette & tomato soup,4.3,90.0,https://www.bbcgoodfood.com/recipes/courgette-tomato-soup,Good Food team,8.0,1.0,10.0,35.0,45.0,2012,9,"1 tbsp butter, 2 onions chopped, 1kg courgette sliced, 1kg tomato chopped, 2 tbsp plain flour, ½ tsp turmeric, 2l low-sodium chicken or  vegetable stock from cubes, crusty bread to serve (optional)",2012-09-01 00:00:00
Roasted tomato & mascarpone soup,,56.0,https://www.bbcgoodfood.com/recipes/roasted-tomato-mascarpone-soup,Barney Desmazery,4.0,1.0,15.0,80.0,95.0,0,0,"1kg very ripe tomatoes, pinch golden caster sugar, 1 tbsp balsamic vinegar, 3 tbsp olive oil, 1 large onion chopped, 1 carrot finely chopped, sprig of  thyme and 2 fresh bay leaves, tied together, 2 garlic cloves chopped, 1 tbsp sundried or normal tomato purée, 600ml vegetable stock, best quality extra-virgin olive oil, fresh thyme",0
Spicy prawn soup,4.7,78.0,https://www.bbcgoodfood.com/recipes/spicy-prawn-soup,Good Food team,4.0,1.0,5.0,0.0,5.0,2007,11,"1 tbsp sunflower oil, 300g  bag crunchy stir-fry  vegetables, 140g shiitake mushroom sliced , 2 tbsp Thai green curry paste, 400g  can reduced-fat  coconut milk, 200ml vegetable or fish  stock, 300g medium straight-to-wok  noodle, 200g  bag large, raw  prawn",2007-11-01 00:00:00
"Celeriac, hazelnut & truffle soup",4.3,35.0,https://www.bbcgoodfood.com/recipes/celeriac-hazelnut-truffle-soup,Sophie Godwin – Cookery writer,6.0,1.0,20.0,45.0,65.0,2017,11,"1 tbsp olive oil, small bunch thyme, 2 bay leaves, 1 onion chopped, 1 fat garlic clove chopped, 1 celeriac (about 1kg), peeled and chopped, 1 potato (about 200g), chopped, 1l veg stock (check the label to ensure it’s vegan – we used Marigold), 100ml soya cream, 50g blanched hazelnuts toasted and roughly chopped, 1 tbsp truffle oil plus an extra drizzle to serve",2017-11-01 00:00:00
Easy Beetroot soup,,19.0,https://www.bbcgoodfood.com/recipes/beetroot-soup-feta-radish-croutons,Chelsie Collins,4.0,1.0,20.0,50.0,70.0,2015,9,"2 tbsp olive oil, 1 large onion finely chopped, 2 garlic cloves crushed, 1kg fresh beetroot peeled and diced (wear rubber gloves to stop your hands turning pink), ½ small loaf sourdough bread diced into large croutons, 100g radishes finely sliced, 100g feta crumbled",2015-09-01 00:00:00
One-pot Chinese chicken noodle soup,4.7,37.0,https://www.bbcgoodfood.com/recipes/one-pot-chinese-chicken-noodle-soup,Tom Kerridge,4.0,1.0,10.0,15.0,25.0,2018,2,"1 tbsp honey, 3 tbsp dark soy, 1 red chilli sliced, 1l chicken stock, 80g leftover roast chicken (optional), 20g pickled pink ginger or normal ginger, peeled and finely sliced, ½ Chinese cabbage shredded, 300g pouch straight-to-wok thick noodles, 4 spring onions sliced",2018-02-01 00:00:00
Mushroom & potato soup,4.2,32.0,https://www.bbcgoodfood.com/recipes/mushroom-potato-soup,Sara Buenfeld,4.0,1.0,15.0,30.0,45.0,2018,1,"1 tbsp rapeseed oil, 2 large onions halved and thinly sliced, 20g dried porcini mushrooms, 3 tsp vegetable bouillon powder, 300g chestnut mushrooms chopped, 3 garlic cloves finely grated, 300g potato finely diced, 2 tsp fresh thyme, 4 carrots finely diced, 2 tbsp chopped parsley, 8 tbsp bio yogurt, 55g walnut pieces",2018-01-01 00:00:00
Cauliflower & chestnut soup,4.8,23.0,https://www.bbcgoodfood.com/recipes/cauliflower-chestnut-soup,Good Food team,4.0,1.0,30.0,25.0,55.0,2015,11,"½ tbsp olive oil plus a drizzle to serve, 1 large onion finely chopped, 1 large cauliflower (about 600g/ 1lb 5oz), cut into florets, 250ml milk, 850ml vegetable stock, 150ml double cream, 200g pack vacuum-packed chestnuts roughly chopped, 25g grated parmesan or vegetarian alternative, to serve",2015-11-01 00:00:00
Curried sweetcorn soup,4.8,15.0,https://www.bbcgoodfood.com/recipes/curried-sweetcorn-soup,Cassie Best,4.0,1.0,15.0,40.0,55.0,2019,1,"2 tbsp rapeseed oil, 1 large onion finely chopped, 2 crushed garlic cloves, 1 red or green chilli chopped, 1 carrot peeled and finely chopped, 1 celery stick finely chopped, 1½ tsp ground turmeric, 11/2 tbsp mild or medium curry paste, 1 chicken or vegetable stock cube, 50g red lentils, 400ml coconut milk, 800ml boiling water, 250g frozen sweetcorn, halved soft-boiled egg, coriander leaves, green chilli slices",2019-01-01 00:00:00
Spiced root vegetable soup,4.7,81.0,https://www.bbcgoodfood.com/recipes/spiced-root-vegetable-soup,Good Food team,4.0,1.0,10.0,35.0,45.0,2010,12,"2 tbsp olive oil, 2 onions finely chopped, 2 sweet potatoes chopped, 2 carrots chopped, 2 parsnips chopped, 1 red chilli roughly chopped, 1 tbsp ground cumin, 75g dried green lentils, 1.3l vegetable stock, 425ml milk, 100g Greek yogurt, 1 tbsp coriander leaves, chopped",2010-12-01 00:00:00
Satay chicken noodle soup with squash,4.8,20.0,https://www.bbcgoodfood.com/recipes/satay-chicken-noodle-soup-squash,Cassie Best,4.0,1.0,25.0,45.0,70.0,2018,10,"½ small squash or pumpkin (about 300g), deseeded and sliced (no need to peel), 2 tbsp groundnut or vegetable oil, 6 skinless chicken thighs, 3 garlic cloves crushed, or 1 tbsp garlic purée, thumb-sized piece of ginger crushed or 1 tbsp ginger purée, 1 chicken stock cube or 1 tbsp concentrated liquid stock, 2 x 400g cans coconut milk, 3 bird’s-eye chilli 2 pierced a few times but left whole, 1 finely sliced to serve (optional), 3 tbsp light soy sauce, 3 tbsp peanut butter smooth or crunchy is fine, 2 limes plus extra wedges to serve, 1 tbsp light brown soft sugar, 1 tbsp fish sauce, 400g rice noodles, small bunch spring onions chopped, small handful coriander leaves, handful beansprouts, 50g salted, roasted peanuts chopped, chilli oil to serve (optional)",2018-10-01 00:00:00
"Curried lentil, parsnip & apple soup",4.6,47.0,https://www.bbcgoodfood.com/recipes/curried-lentil-parsnip-apple-soup,Justine Pattison,6.0,1.0,20.0,40.0,60.0,2014,11,"2 tbsp sunflower oil, 3 tbsp medium curry paste, 2 medium onions roughly chopped, 500g parsnips (around 5 medium parsnips), peeled and cut into chunks, 140g dried  red lentils, 2 Bramley apples (about 400g), peeled, cored and cut into chunks, 1 ½l vegetable or chicken stock made with 1 stock cube, natural yogurt to serve (optional), chopped coriander to serve (optional)",2014-11-01 00:00:00
Miso soup,4.2,15.0,https://www.bbcgoodfood.com/recipes/miso-soup,Bonnie Chung,4.0,1.0,10.0,5.0,15.0,0,0,"5g dried wakame seaweed, 1l dashi (shop bought or see tip), 200g fresh silken tofu or firm if you prefer, cut into 1cm cubes, 2 tbsp white miso paste, 3 tbsp red miso paste, spring onion finely chopped, to serve  ",0
"Smoky tomato, chipotle & charred corn soup",4.6,21.0,https://www.bbcgoodfood.com/recipes/smoky-tomato-chipotle-charred-corn-soup,Esther Clark,4.0,1.0,10.0,30.0,40.0,2020,9,"1 tbsp rapeseed oil, 1 onion finely chopped, 2 garlic cloves chopped, 2 tsp ground coriander, small bunch of  coriander stalks chopped and leaves left whole, 400g can chopped  tomatoes, 600ml vegetable stock, 1-1½ tbsp  chipotle chilli paste, 2 corn on the cobs, 50g feta crumbled, 4 tbsp fat-free  Greek yogurt",2020-09-01 00:00:00
Leek & butter bean soup with crispy kale & bacon,4.6,42.0,https://www.bbcgoodfood.com/recipes/leek-butter-bean-soup-crispy-kale-bacon,Katy Gilhooly,4.0,1.0,10.0,30.0,40.0,2017,2,"4 tsp olive oil, 500g leeks sliced, 4 thyme sprigs leaves picked, 2 x 400g cans butter beans, 500ml vegetable bouillon stock, 2 tsp wholegrain mustard, ½ small pack flat-leaf parsley, 3 rashers streaky bacon, 40g chopped kale any tough stems removed, 25g hazelnuts roughly chopped",2017-02-01 00:00:00
Broccoli and kale green soup,3.9,75.0,https://www.bbcgoodfood.com/recipes/alkalising-green-soup,Natasha Corrett,2.0,1.0,15.0,20.0,35.0,2015,1,"500ml stock made by mixing 1 tbsp bouillon powder and boiling water in a jug, 1 tbsp sunflower oil, 2 garlic cloves sliced, thumb-sized piece  ginger sliced, ½ tsp ground coriander, 3cm/1in piece fresh turmeric root, peeled and grated, or 1/2 tsp ground turmeric, pinch of pink Himalayan salt, 200g courgettes roughly sliced, 85g broccoli, 100g kale chopped, 1 lime zested and juiced, small pack parsley roughly chopped, reserving a few whole leaves to serve",2015-01-01 00:00:00
Creamy curried chicken & rice soup,4.8,14.0,https://www.bbcgoodfood.com/recipes/creamy-curried-chicken-rice-soup,Esther Clark,4.0,1.0,20.0,35.0,55.0,2019,11,"2 tbsp olive oil, 1 onion finely chopped, 3 tbsp Thai red curry paste, 2 x 400g cans coconut milk, 400ml chicken stock, 100g risotto rice, 4 large eggs, about 200-300g leftover roast chicken shredded, 340g can sweetcorn drained, 2-3 limes juiced, 2 spring onions sliced",2019-11-01 00:00:00
Spiced red lentil soup,4.8,57.0,https://www.bbcgoodfood.com/recipes/spiced-red-lentil-soup,Good Food team,4.0,1.0,5.0,30.0,35.0,2011,3,"1 onion chopped, 1 tbsp olive oil, 1-2 tbsp Thai red curry paste, 300g red lentil, 1.7l vegetable stock, 200ml coconut milk, chopped spring onions to serve (optional)",2011-03-01 00:00:00
Salmon noodle soup,4.6,51.0,https://www.bbcgoodfood.com/recipes/salmon-noodle-soup,Jenny White,4.0,1.0,15.0,20.0,35.0,2011,9,"1l low-salt chicken stock, 2 tsp Thai red curry paste, 100g flat rice noodle, 150g pack shiitake mushroom sliced, 125g pack baby corn sliced, 2 skinless salmon fillets sliced, juice 2 limes, 1 tbsp reduced-salt soy sauce, pinch brown sugar, small bunch coriander chopped",2011-09-01 00:00:00
Potato & Savoy cabbage soup with bacon,4.5,128.0,https://www.bbcgoodfood.com/recipes/potato-savoy-cabbage-soup-bacon,Good Food team,4.0,1.0,10.0,10.0,20.0,2007,10,"1 onion, 1 carrot, 1 celery stick, 2 garlic cloves, 1 tbsp olive oil plus extra to serve, 550g floury potatoes peeled and cut into small cubes, 1l chicken or vegetable stock, 8 rashers streaky bacon, a quarter medium Savoy cabbage (about 200g/8oz)",2007-10-01 00:00:00
Oxtail soup,4.5,10.0,https://www.bbcgoodfood.com/recipes/oxtail-soup,Barney Desmazery,6.0,2.0,25.0,240.0,265.0,0,0,"1 ½kg oxtail cut into about 4 pieces , small handful thyme sprigs, 2 bay leaves, small bunch fresh parsley leaves and stalks separated , ½ tsp black peppercorns roughly crushed , small piece star anise, ½ bottle red wine, 4 tbsp sunflower oil, 1 onion roughly chopped, 2 carrots roughly chopped , 2 sticks celery roughly chopped , 2 garlic cloves bashed once and peeled, 1 tbsp plain flour, 1 tbsp ketchup, 2l beef stock",0
Tomato soup with pasta,4.4,16.0,https://www.bbcgoodfood.com/recipes/roast-tomato-soup-pasta,Lulu Grimes,2.0,1.0,10.0,30.0,40.0,2018,5,"2 tbsp olive oil, ½ onion finely chopped, 1 small carrot finely chopped, 1 celery stick finely chopped, 100ml passata, 400g can  peeled tomatoes or 4 large ripe tomatoes, ½ vegetable or chicken stock melt or cube, 2 tbsp cream (optional), 100g orzo or soup pasta, cooked until al dente, shaved  parmesan chopped basil or pesto, and breadsticks, to serve",2018-05-01 00:00:00
Minty pea & potato soup,4.3,90.0,https://www.bbcgoodfood.com/recipes/minty-pea-potato-soup,Good Food team,4.0,1.0,5.0,25.0,30.0,2008,10,"2 tsp vegetable oil, 1 onion chopped, 800g potato peeled and cut into small chunks,  1l vegetable stock, 350g frozen pea, handful mint chopped",2008-10-01 00:00:00
Indian chickpea & vegetable soup,4.1,89.0,https://www.bbcgoodfood.com/recipes/indian-chickpea-vegetable-soup,Jennifer Joyce,,1.0,10.0,15.0,25.0,2009,2,"1 tbsp vegetable oil, 1 large onion chopped, 1 tsp finely grated fresh root ginger, 1 garlic clove chopped, 1 tbsp garam masala, 850ml vegetable stock, 2 large carrots quartered lengthways and chopped, 400g can chickpea drained, 100g green bean chopped",2009-02-01 00:00:00
Indian chickpea & vegetable soup,4.1,89.0,https://www.bbcgoodfood.com/recipes/indian-chickpea-vegetable-soup,Jennifer Joyce,,1.0,10.0,15.0,25.0,2009,2,"1 tbsp vegetable oil, 1 large onion chopped, 1 tsp finely grated fresh root ginger, 1 garlic clove chopped, 1 tbsp garam masala, 850ml vegetable stock, 2 large carrots quartered lengthways and chopped, 400g can chickpea drained, 100g green bean chopped",2009-02-01 00:00:00
Butternut squash and sage soup,4.5,45.0,https://www.bbcgoodfood.com/recipes/butternut-squash-sage-soup,Good Food team,8.0,1.0,20.0,40.0,60.0,2012,12,"1 tbsp olive oil, 1 tbsp butter, 3 onions chopped, 2 tbsp chopped sage, 1.4kg peeled, deseeded  butternut squash - buy whole squash and prepare, or buy bags of ready-prepared, 1 tbsp clear honey, 1 ½l vegetable stock, bunch chives snipped, and cracked black pepper, to serve",2012-12-01 00:00:00
"Cucumber, pea & lettuce soup",3.9,35.0,https://www.bbcgoodfood.com/recipes/cucumber-pea-lettuce-soup,Good Food team,4.0,1.0,5.0,15.0,20.0,2017,6,"1 tsp rapeseed oil, small bunch spring onions roughly chopped, 1 cucumber roughly chopped, 1 large round lettuce roughly chopped, 225g frozen peas, 4 tsp vegetable bouillon, 4 tbsp bio yogurt (optional), 4 slices rye bread",2017-06-01 00:00:00
Thai noodle soup with salmon,3.8,26.0,https://www.bbcgoodfood.com/recipes/thai-noodle-soup-salmon,Cassie Best,2.0,1.0,15.0,15.0,30.0,2020,3,"4 salmon fillets, skin left on, 200g dried flat rice noodles, 125g red Thai curry paste, 2 x 400ml cans light coconut milk, 2 pak choi (about 250g), leaves separated",2020-03-01 00:00:00
Moroccan spiced cauliflower & almond soup,4.2,73.0,https://www.bbcgoodfood.com/recipes/moroccan-spiced-cauliflower-almond-soup,Good Food team,4.0,1.0,5.0,25.0,30.0,2012,1,"1 large cauliflower, 2 tbsp olive oil, ½ tsp each ground cinnamon, cumin and  coriander, 2 tbsp harissa paste plus extra drizzle, 1l hot vegetable or  chicken stock, 50g toasted flaked almond plus extra to serve",2012-01-01 00:00:00
Creamy chicken & sweetcorn soup,4.6,20.0,https://www.bbcgoodfood.com/recipes/creamy-chicken-sweetcorn-soup,Lulu Grimes,4.0,1.0,25.0,50.0,75.0,2017,9,"1 tbsp olive oil, 1 celery stick, 1 leek finely sliced, 300ml strong chicken stock, 250g sweetcorn (use fresh or frozen), half of it crushed lightly with a fork, 200g greens (such as spinach or kale), finely sliced, 25g butter, 25g plain flour, 250ml milk, 1 tsp olive oil, 2-3 (depending on size) skinless chicken thigh fillets, cut into cubes, 1 skinless chicken breast, cut into cubes, ⅓ onion very finely chopped (optional)",2017-09-01 00:00:00
Mexican sweet potato soup,4.6,30.0,https://www.bbcgoodfood.com/recipes/mexican-sweet-potato-soup,Good Food team,4.0,1.0,15.0,15.0,30.0,2014,5,"1 tbsp vegetable oil, 1 onion finely chopped, 1 tbsp chipotle paste, 1 vegetable stock cube, 750g sweet potato peeled and grated, half-fat crème fraîche coriander leaves and 4 crusty bread rolls, to serve",2014-05-01 00:00:00
Pea & pesto soup with fish finger croûtons,4.6,55.0,https://www.bbcgoodfood.com/recipes/pea-pesto-soup-fish-finger-croutons,Good Food team,4.0,1.0,5.0,15.0,20.0,2006,11,"500g frozen pea, 4 medium potatoes peeled and cut into cubes, 1l hot vegetable stock, 300g pack fish finger (about 10), 3 tbsp green pesto",2006-11-01 00:00:00
Hearty mushroom soup,4.3,77.0,https://www.bbcgoodfood.com/recipes/hearty-mushroom-soup,Good Food team,4.0,2.0,30.0,30.0,60.0,2006,2,"25g pack porcini mushrooms, 2 tbsp olive oil, 1 medium onion finely diced, 2 large carrots diced, 2 garlic cloves finely chopped, 1 tbsp chopped rosemary or 1 tsp dried, 500g fresh mushroom such as chestnut, finely chopped, 1.2l vegetable stock (from a cube is fine), 5 tbsp marsala or dry sherry, 2 tbsp tomato purée, 100g pearl barley, grated fresh  parmesan to serve (optional)",2006-02-01 00:00:00
"Leek, fennel & potato soup with cashel blue cheese",,15.0,https://www.bbcgoodfood.com/recipes/leek-fennel-potato-soup-cashel-blue-cheese,Diana Henry,6.0,1.0,10.0,45.0,55.0,2018,12,"2 heads fennel, 3 large leeks trimmed, washed and finely sliced, 60g butter, 1 large potato peeled and diced, 900ml chicken stock or water, 1 garlic clove sliced, 100ml double cream, 50g walnuts toasted, 75g Cashel Blue cheese crumbled",2018-12-01 00:00:00
Beetroot soup,3.9,25.0,https://www.bbcgoodfood.com/recipes/beetroot-onion-seed-soup,Chelsie Collins,1.0,1.0,5.0,5.0,10.0,2016,9,"250g cooked beetroot, 100g canned lentils, 1 small apple, 1 crushed garlic clove, 1 tsp onion seeds (nigella), plus extra to serve, 250ml vegetable stock",2016-09-01 00:00:00
"Cavolo nero, meatball & cannellini soup",4.3,19.0,https://www.bbcgoodfood.com/recipes/cavolo-nero-meatball-cannellini-soup,Cassie Best,4.0,1.0,15.0,25.0,40.0,2018,11,"2 tbsp olive oil or rapeseed oil, 6 sausages (we used Cumberland), 1 red onion, 3 garlic cloves crushed, 1⁄2-1 tsp chilli flakes (optional), 200g bag cavolo nero kale or other hardy greens, chopped, 2 x 400g cans cannellini beans, 1 chicken stock cube, 1 lemon zested, plus juice of 1⁄2",2018-11-01 00:00:00
Easy green vegetable soup,4.4,12.0,https://www.bbcgoodfood.com/recipes/easy-green-vegetable-soup,Miriam Nice,6.0,1.0,10.0,15.0,25.0,0,0,"1bunch spring onions chopped, 1large potato peeled and chopped, 1 garlic clove crushed, 1l vegetable stock, 250g frozen peas, 100g fresh spinach, 300ml natural yogurt, few mint leaves basil leaves, cress or a mixture, to serve",0
Butternut squash and sweet potato soup,,48.0,https://www.bbcgoodfood.com/recipes/sweet-potato-butternut-squash-soup-lemon-garlic-toast,James Martin,8.0,1.0,30.0,60.0,90.0,2014,11,"500g sweet potatoes peeled and diced, 1 butternut squash peeled, deseeded and diced, 1 tbsp clear honey, 1 tbsp olive oil plus a drizzle, 2 onions roughly chopped, 3 garlic cloves crushed, 1l vegetable or chicken stock, 1 tsp cinnamon, 1 tsp grated nutmeg, 1 tbsp olive oil, 3 garlic cloves crushed, 100g butter at room temperature, zest 1  lemon, 2 tbsp snipped chives, 1 tbsp chopped thyme, 2 ciabatta loaves, cut into slices",2014-11-01 00:00:00
Indian winter soup,4.5,44.0,https://www.bbcgoodfood.com/recipes/indian-winter-soup,Good Food team,4.0,1.0,15.0,30.0,45.0,2011,2,"100g pearl barley, 2 tbsp vegetable oil, ½ tsp brown mustard seeds, 1 tsp cumin seeds, 2 green chillies deseeded and finely chopped, 1 bay leaf, 2 cloves, 1 small cinnamon stick, ½ tsp ground turmeric, 1 large onion chopped, 2 garlic cloves finely chopped, 1 parsnip cut into chunks, 200g butternut squash cut into chunks, 200g sweet potato cut into chunks, 1 tsp paprika, 1 tsp ground coriander, 225g red lentils, 2 tomatoes chopped, small bunch coriander chopped, 1 tsp grated ginger, 1 tsp lemon juice",2011-02-01 00:00:00
Miso mushroom & tofu noodle soup,4.4,14.0,https://www.bbcgoodfood.com/recipes/miso-mushroom-tofu-noodle-soup,Esther Clark,1.0,1.0,10.0,15.0,25.0,2020,2,"1 tbsp rapeseed oil, 70g mixed mushrooms sliced, 50g smoked tofu cut into small cubes, ½ tbsp  brown rice miso paste, 50g dried buckwheat or egg noodles, 2 spring onions shredded",2020-02-01 00:00:00
Roasted roots & sage soup,4.3,13.0,https://www.bbcgoodfood.com/recipes/roasted-roots-sage-soup,Anna Glover,2.0,1.0,15.0,45.0,60.0,2019,11,"1 parsnip peeled and chopped, 2 carrots peeled and chopped, 300g turnip swede or celeriac, chopped, 4 garlic cloves skin left on, 1 tbsp rapeseed oil plus ½ tsp, 1 tsp maple syrup, ¼ small bunch of sage leaves picked, 4 whole, the rest finely chopped, 750ml vegetable stock, grating of nutmeg, 1½ tbsp fat-free yogurt",2019-11-01 00:00:00
Cider & onion soup with cheese & apple toasts,4.7,11.0,https://www.bbcgoodfood.com/recipes/cider-onion-soup-cheese-apple-toasts,Tom Kerridge,2.0,1.0,25.0,35.0,60.0,2019,12,"30g butter, 2 onions peeled and sliced, 3 garlic cloves peeled and sliced, 100ml scrumpy cider, 1 small potato peeled and sliced, 2 thyme sprigs, plus 1 tsp thyme leaves to serve, 450ml chicken stock, 50ml double cream or crème fraîche, 2 slices sourdough or baguette, 20g grated cheddar or other crumbled cheese, 10g dried apple, 1 spring onion finely sliced",2019-12-01 00:00:00
"Creamy smoked salmon, leek & potato soup",4.9,48.0,https://www.bbcgoodfood.com/recipes/creamy-smoked-salmon-leek-potato-soup,Good Food team,8.0,1.0,15.0,25.0,40.0,2010,12,"large knob of butter, 2 large  leeks halved and finely sliced, 1 bay leaf, 1kg floury potatoes diced, 1l chicken or vegetable stock, 100ml double cream, 200g smoked salmon cut into strips, small bunch chives snipped",2010-12-01 00:00:00
Creamy artichoke soup with Parmesan skins,4.8,17.0,https://www.bbcgoodfood.com/recipes/creamy-artichoke-soup-parmesan-skins,Jane Hornby,4.0,1.0,30.0,25.0,55.0,2016,2,"juice ½ lemon, 500g Jerusalem artichokes, 2 tsp vegetable oil, 25g butter, 1 onion roughly chopped, 1 floury potato (about 140g/5oz), such as King Edward, roughly chopped, 600ml vegetable stock or chicken stock, 3 tbsp whipping or double cream plus a little extra to serve (optional), 1-2 tbsp finely grated parmesan (or vegetarian alternative), 1 rosemary sprig, leaves only, finely chopped",2016-02-01 00:00:00
Slow cooker chicken soup,3.6,21.0,https://www.bbcgoodfood.com/recipes/slow-cooker-chicken-soup,Esther Clark,6.0,1.0,15.0,360.0,375.0,2020,5,"1 onion finely chopped, 2 celery sticks, finely chopped, 2 carrots chopped into 1.5cm pieces, 2 leeks halved and sliced, 1 bay leaf and 3 thyme sprigs, tied together, 1 whole medium chicken (about 1.4kg), 2l chicken stock, 1 lemon juiced, ½ small bunch of  dill or parsley, finely chopped, crusty bread to serve (optional)",2020-05-01 00:00:00
Curried spinach & lentil soup,,14.0,https://www.bbcgoodfood.com/recipes/curried-spinach-lentil-soup,Esther Clark,4.0,1.0,10.0,45.0,55.0,2019,9,"2 tbsp rapeseed oil, 1 onion finely chopped, 2 large garlic cloves crushed, ¼ tsp hot  chilli powder, 1 tsp cumin seeds, 1 tbsp medium curry powder, 160g dried brown lentils, 1.2l low-salt veg stock, large bunch coriander, 30g unsalted cashew nuts toasted, 2 lemons zested and juiced, 500g spinach",2019-09-01 00:00:00
Chinese chicken noodle soup with peanut sauce,4.9,13.0,https://www.bbcgoodfood.com/recipes/chinese-chicken-noodle-soup-peanut-sauce,Elena Silcock,2.0,1.0,15.0,30.0,45.0,2018,3,"1 tbsp sunflower oil, 4 skinless boneless chicken thighs, 1 garlic clove crushed, 1 thumb-sized piece ginger grated, 500ml chicken stock, 1 tsp soy sauce, ½ hispi cabbage finely sliced, 150g mushrooms, 1 tbsp peanut butter, 1 tsp soy sauce, 1 tsp honey, sriracha or other chilli sauce (optional), to serve",2018-03-01 00:00:00
Quick tomato soup with cheesy garlic dippers,4.7,48.0,https://www.bbcgoodfood.com/recipes/quick-tomato-soup-cheesy-garlic-dippers,Good Food team,2.0,1.0,5.0,20.0,25.0,2011,3,"400g can cherry tomatoes, 1 tbsp caster sugar, 100ml vegetable stock, dash each Tabasco and Worcestershire sauce, 2 tbsp mascarpone, 1 medium ciabatta roll, halved, 1 garlic clove halved, 125g ball mozzarella cheese, shredded",2011-03-01 00:00:00
Spicy pepper & tomato soup with cucumber yogurt,4.4,26.0,https://www.bbcgoodfood.com/recipes/spicy-pepper-tomato-soup-cucumber-yogurt,Good Food team,4.0,1.0,15.0,25.0,40.0,2012,8,"2 tbsp olive oil plus extra to serve, 2 onions finely sliced, 1 carrot finely chopped, 3 red peppers roughly chopped, 3 garlic cloves sliced, 1 red chilli sliced, 400g can  chopped tomato, 850ml-1 litre/1½-1¾pts  vegetable stock or bouillon, 4 tbsp Greek-style yogurt, ½  cucumber halved, deseeded, coarsely grated and squeezed of excess water, a few  mint leaves, chopped",2012-08-01 00:00:00
Healthy mushroom soup,3.7,16.0,https://www.bbcgoodfood.com/recipes/russian-wild-mushroom-barley-soup,Diana Henry,4.0,1.0,15.0,45.0,60.0,2020,1,"30g dried porcini mushrooms, 1½ tbsp olive oil, 20g unsalted butter, 250g mushrooms roughly chopped, 1 medium carrot peeled and finely diced, 1 celery stick finely diced, 200g pearl barley, 800ml chicken, beef or veal stock, small bunch of dill leaves chopped, soured cream and crusty bread, to serve",2020-01-01 00:00:00
Leek & bacon soup,4.8,19.0,https://www.bbcgoodfood.com/recipes/leek-bacon-soup,Good Food team,4.0,1.0,5.0,20.0,25.0,2006,11,"4 leeks trimmed and thickly sliced, 8 rashers smoked streaky bacon chopped, 1 ½l hot chicken stock, 2 sprigs rosemary needles finely chopped, 200g pasta shapes",2006-11-01 00:00:00
